Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,46.135715,46.211430,45.901428,46.080002,31.194160,48377000
2011-01-03,46.520000,47.180000,46.405716,47.081429,31.872087,111284600
2011-01-04,47.491428,47.500000,46.878571,47.327145,32.038422,77270200
2011-01-05,47.078571,47.762856,47.071430,47.714287,32.300495,63879900
2011-01-06,47.817142,47.892857,47.557144,47.675713,32.274384,75107200
2011-01-07,47.712856,48.049999,47.414288,48.017143,32.505524,77982800
2011-01-10,48.404285,49.032856,48.167141,48.921429,33.117680,112140000
2011-01-11,49.268570,49.279999,48.495716,48.805714,33.039349,111027000
2011-01-12,49.035713,49.204285,48.857143,49.202858,33.308201,75647600
2011-01-13,49.308571,49.520000,49.121429,49.382858,33.430058,74195100
2011-01-14,49.412857,49.782856,49.205715,49.782856,33.700832,77210000
2011-01-18,47.074287,49.251427,46.571430,48.664288,32.943607,470249500
2011-01-19,49.764286,49.799999,48.125713,48.405716,32.768570,283903200
2011-01-20,48.061428,48.328571,47.160000,47.525715,32.172848,191197300
2011-01-21,47.681427,47.840000,46.661430,46.674286,31.596462,188600300
2011-01-24,46.695713,48.207142,46.674286,48.207142,32.634136,143670800
2011-01-25,48.047142,48.777142,47.795715,48.771427,33.016140,136717000
2011-01-26,48.994286,49.371429,48.785713,49.121429,33.253067,126718900
2011-01-27,49.111427,49.241428,48.975716,49.029999,33.191177,71256500
2011-01-28,49.167141,49.200001,47.647144,48.014286,32.503593,148014300
2011-01-31,47.971428,48.577145,47.757141,48.474285,32.814983,94311700
2011-02-01,48.757141,49.378571,48.711430,49.290001,33.367188,106658300
2011-02-02,49.207142,49.321430,49.078571,49.188572,33.298523,64738800
2011-02-03,49.114285,49.177143,48.364285,49.062859,33.213425,98449400
2011-02-04,49.091427,49.528572,49.072857,49.500000,33.509350,80460100
2011-02-07,49.698570,50.464287,49.662857,50.268570,34.029633,121255400
2011-02-08,50.525715,50.788570,50.307144,50.742859,34.350716,95260200
2011-02-09,50.741428,51.285713,50.695713,51.165714,34.636967,120686300
2011-02-10,51.055714,51.428570,49.714287,50.648571,34.286884,232137500
2011-02-11,50.678570,51.114285,50.505714,50.978573,34.510277,91893200
2011-02-14,50.970001,51.354286,50.958572,51.311428,34.735607,77604100
2011-02-15,51.312859,51.424286,51.078571,51.414288,34.805241,71043700
2011-02-16,51.542858,52.128571,51.500000,51.875713,35.117607,120289400
2011-02-17,51.035713,51.467144,50.931427,51.185715,34.650501,132645800
2011-02-18,51.244286,51.357143,49.931427,50.080002,33.901978,204014300
2011-02-22,48.878571,49.342857,48.245716,48.372856,32.746326,218138900
2011-02-23,48.395714,49.234287,48.372856,48.945713,33.134121,167963600
2011-02-24,49.145714,49.307144,48.338570,48.982857,33.159264,124975200
2011-02-25,49.322857,49.775715,49.257141,49.737144,33.669888,95004700
2011-02-28,50.177143,50.721428,50.160000,50.458572,34.158257,100768500
2011-03-01,50.781429,50.817142,49.668571,49.901428,33.781094,114034200
2011-03-02,49.994286,50.621429,49.771427,50.302856,34.052856,150647700
2011-03-03,51.027142,51.398571,50.845715,51.365715,34.772358,125197100
