Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,172.110001,173.539993,171.490005,172.149994,142.346207,5396200
2011-05-03,172.000000,173.479996,171.229996,172.869995,142.941528,5007700
2011-05-04,172.360001,172.619995,169.589996,170.619995,141.081100,6890300
2011-05-05,170.470001,170.869995,167.500000,168.460007,139.295059,7332000
2011-05-06,169.029999,170.149994,168.240005,168.889999,140.275085,4839400
2011-05-09,168.389999,169.850006,168.309998,169.100006,140.449524,3594800
2011-05-10,169.250000,170.899994,169.220001,170.380005,141.512665,4934800
2011-05-11,170.300003,170.520004,167.820007,169.500000,140.781738,4663200
2011-05-12,169.649994,172.770004,168.649994,172.240005,143.057510,5138500
2011-05-13,171.699997,172.149994,169.440002,169.919998,141.130585,5167400
2011-05-16,169.809998,170.639999,168.309998,168.860001,140.250198,4662200
2011-05-17,167.850006,171.410004,166.529999,170.500000,141.612320,8773200
2011-05-18,170.100006,171.190002,169.460007,170.440002,141.562485,4154300
2011-05-19,170.860001,171.399994,169.320007,170.589996,141.687042,3538300
2011-05-20,170.399994,171.149994,169.380005,170.160004,141.329910,4869900
2011-05-23,168.580002,168.690002,167.070007,168.259995,139.751816,5144000
2011-05-24,168.500000,168.669998,167.509995,167.990005,139.527573,4643600
2011-05-25,167.630005,168.399994,167.509995,167.750000,139.328262,3882100
2011-05-26,167.460007,167.500000,165.899994,167.179993,138.854828,5771300
2011-05-27,167.910004,168.470001,167.000000,167.500000,139.120590,3277600
2011-05-31,168.440002,169.889999,167.820007,168.929993,140.308334,9123400
2011-06-01,168.899994,169.580002,166.500000,166.559998,138.339859,5134600
2011-06-02,166.440002,167.100006,165.710007,166.089996,137.949493,3854100
2011-06-03,164.300003,165.889999,164.130005,165.050003,137.085709,5230500
2011-06-06,164.759995,165.580002,164.270004,164.750000,136.836517,3619700
2011-06-07,165.110001,165.240005,163.610001,163.690002,135.956161,4187000
2011-06-08,163.270004,164.850006,163.259995,164.339996,136.496017,3850800
2011-06-09,165.009995,165.960007,164.759995,164.839996,136.911301,4299800
2011-06-10,164.570007,164.839996,162.869995,163.179993,135.532547,4683300
2011-06-13,164.440002,164.460007,162.729996,163.169998,135.524231,5099200
